ID_Pedido,Data_Compra,SKU_Produto,Nome_Produto,Categoria,Preco_Unitario,Quantidade,Custo_Frete,CEP_Entrega,Status_Entrega
1083,2023-04-02,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876076,Entregue
1084,2023-04-03,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876077,Cancelado
1085,2023-04-04,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876078,Entregue
1086,2023-04-05,SKU-006,Carregador Turbo,Acessorios,120.00,2,12.00,72876079,Processando
1087,2023-04-06,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876080,Entregue
1088,2023-04-07,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876081,Enviado
1089,2023-04-08,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876082,Entregue
1090,2023-04-09,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876083,Processando
1091,2023-04-10,SKU-011,Webcam HD,Perifericos,250.00,1,17.00,72876084,Entregue
1092,2023-04-11,SKU-012,SSD 1TB,Armazenamento,600.00,1,20.00,72876085,Cancelado
1093,2023-04-12,SKU-013,Memoria RAM 16GB,Componentes,400.00,2,15.00,72876086,Entregue
1094,2023-04-13,SKU-014,Placa de Video,Componentes,3500.00,1,40.00,72876087,Enviado
1095,2023-04-14,SKU-015,Fonte 750W,Componentes,550.00,1,25.00,72876088,Entregue
1096,2023-04-15,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876089,Processando
1097,2023-04-16,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876090,Entregue
1098,2023-04-17,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876091,Enviado
1099,2023-04-18,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876092,Entregue
1100,2023-04-19,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876093,Cancelado
1101,2023-04-20,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876094,Entregue
1102,2023-04-21,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876095,Processando
1103,2023-04-22,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876096,Entregue
1104,2023-04-23,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876097,Enviado
1105,2023-04-24,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876098,Entregue
1106,2023-04-25,SKU-011,Webcam HD,Perifericos,250.00,1,17.00,72876099,Processando
1107,2023-04-26,SKU-012,SSD 1TB,Armazenamento,600.00,1,20.00,72876100,Entregue
1108,2023-04-27,SKU-013,Memoria RAM 16GB,Componentes,400.00,1,15.00,72876101,Cancelado
1109,2023-04-28,SKU-014,Placa de Video,Componentes,3500.00,1,40.00,72876102,Entregue
1110,2023-04-29,SKU-015,Fonte 750W,Componentes,550.00,1,25.00,72876103,Enviado
1111,2023-04-30,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876104,Entregue
1112,2023-05-01,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876105,Processando
1113,2023-05-02,SKU-003,Fone de Ouvido Z,Acessorios,350.00,2,15.00,72876106,Entregue
1114,2023-05-03,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876107,Enviado
1115,2023-05-04,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876108,Entregue
1116,2023-05-05,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876109,Cancelado
1117,2023-05-06,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876110,Entregue
1118,2023-05-07,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876111,Processando
1119,2023-05-08,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876112,Entregue
1120,2023-05-09,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876113,Enviado
1121,2023-05-10,SKU-011,Webcam HD,Perifericos,250.00,1,17.00,72876114,Entregue
1122,2023-05-11,SKU-012,SSD 1TB,Armazenamento,600.00,1,20.00,72876115,Processando
1123,2023-05-12,SKU-013,Memoria RAM 16GB,Componentes,400.00,1,15.00,72876116,Entregue
1124,2023-05-13,SKU-014,Placa de Video,Componentes,3500.00,1,40.00,72876117,Cancelado
1125,2023-05-14,SKU-015,Fonte 750W,Componentes,550.00,1,25.00,72876118,Entregue
1126,2023-05-15,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876119,Enviado
1127,2023-05-16,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876120,Entregue
1128,2023-05-17,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876121,Processando
1129,2023-05-18,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876122,Entregue
1130,2023-05-19,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876123,Enviado
1131,2023-05-20,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876124,Entregue
1132,2023-05-21,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876125,Cancelado
1133,2023-05-22,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876126,Entregue
1134,2023-05-23,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876127,Processando
1135,2023-05-24,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876128,Entregue
1136,2023-05-25,SKU-011,Webcam HD,Perifericos,250.00,1,17.00,72876129,Enviado
1137,2023-05-26,SKU-012,SSD 1TB,Armazenamento,600.00,1,20.00,72876130,Entregue
1138,2023-05-27,SKU-013,Memoria RAM 16GB,Componentes,400.00,1,15.00,72876131,Processando
1139,2023-05-28,SKU-014,Placa de Video,Componentes,3500.00,1,40.00,72876132,Entregue
1140,2023-05-29,SKU-015,Fonte 750W,Componentes,550.00,1,25.00,72876133,Cancelado
1141,2023-05-30,SKU-001,Smartphone X,Celulares,2500.00,1,25.50,72876134,Entregue
1142,2023-05-31,SKU-002,Laptop Pro,Notebooks,5500.00,1,45.00,72876135,Enviado
1143,2023-06-01,SKU-003,Fone de Ouvido Z,Acessorios,350.00,1,15.00,72876136,Entregue
1144,2023-06-02,SKU-004,Smartwatch Y,Vestiveis,800.00,1,20.00,72876137,Processando
1145,2023-06-03,SKU-005,Tablet 10,Tablets,1800.00,1,30.00,72876138,Entregue
1146,2023-06-04,SKU-006,Carregador Turbo,Acessorios,120.00,1,12.00,72876139,Enviado
1147,2023-06-05,SKU-007,Mouse Gamer,Perifericos,280.00,1,18.00,72876140,Entregue
1148,2023-06-06,SKU-008,Teclado Mecanico,Perifericos,450.00,1,22.00,72876141,Cancelado
1149,2023-06-07,SKU-009,Monitor 24,Monitores,1200.00,1,55.00,72876142,Entregue
1150,2026-06-08,SKU-010,Cadeira Gamer,Mobiliario,950.00,1,80.00,72876143,Processando

